dye_raw,eco_class,record_count,avg_pce_percent,max_pce_percent,avg_jsc,avg_voc,avg_ff,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
MKA253,metal_free_organic_candidate,10,4.05,6.1,7.4,687.0,0.61,"(E)-3-(6-(4-(bis(5,7-dibutoxy-9,9-dimethyl-9H-fluoren-2-yl)amino)phenyl)-4,4-dihexyl-4H-cyclopenta[2,1-b:3,4-b']dithiophen-2-yl)-2-cyanoacrylic acid",CCCCCCC1(CCCCCC)c2cc(sc2c3sc(cc13)c4ccc(cc4)N(c5ccc6c(c5)C(C)(C)c7cc(OCCCC)cc(OCCCC)c67)c8ccc9c(c8)C(C)(C)c%10cc(OCCCC)cc(OCCCC)c9%10)\C=C(C#N)\C(O)=O,,,FTO,rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1039/C4TA05774K; 10.1039/C8TC03542C,The combination of a new organic D–π–A dye with different organic hole-transport materials for efficient solid-state dye-sensitized solar cells   | The researcher's guide to solid-state dye-sensitized solar cells 
AR20,metal_free_candidate_uncertain,5,4.52,6.1,12.015,252.38,35.2438,,,TiO2,,FTO,rsc,no_heavy_metal_keyword_detected,10.1039/B910089J; 10.1039/C7CS00565B,"Increasing the performance of cis -dithiocyanato(4,4′-dicarboxy-2,2′-bipyridine)(1,10-phenanthroline) ruthenium ( ii ) based DSC using citric acid as co-adsorbant  | Multimolecular assemblies on high surface area metal oxides and their role in interfacial energy and electron transfer "
TPA3T2A,metal_free_candidate_uncertain,3,5.6,6.1,12.88,0.6343,20.9033,,,TiO2,I−/I3−,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.orgel.2015.11.040; 10.1016/j.orgel.2018.09.039; 10.1016/j.synthmet.2016.04.009,"Dye mixture promoted light harvesting for organic dye-sensitized solar cells using triphenylamine dyes with various numbers of anchoring groups | Theoretical study of triphenylamine-based organic dyes with mono-, di-, and tri-anchoring groups for dye-sensitized solar cells | Triphenylamine-based tri-anchoring organic dye with enhanced electron lifetime and long-term stability for dye sensitized solar cells"
C214,metal_free_organic_candidate,3,6.0333,6.1,10.3967,0.8343,0.7,,C1=CSC(=C1)C2=CC=CS2,,,glass,elsevier,metal_free_smiles_screen; organic_keyword:thiophene,10.1016/j.orgel.2014.08.058,"Molecular dipole, dye structure and electron lifetime relationship in efficient dye sensitized solar cells based on donor–π–acceptor organic sensitizers"
18 h,metal_free_candidate_uncertain,2,5.8,6.1,12.4,0.735,0.635,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4CC05766J, In situ monitoring and optimization of room temperature ultra-fast sensitization for dye-sensitized solar cells  
( 7 ) + SQ2 + CDCA,metal_free_candidate_uncertain,1,6.1,6.1,14.61,0.63,0.66,,,,I3−/I−,,rsc,no_heavy_metal_keyword_detected,10.1039/C3TA15278B,A study of dye anchoring points in half-squarylium dyes for dye-sensitized solar cells  
M15 / I,metal_free_candidate_uncertain,1,6.1,6.1,11.8,756.0,0.68,,,TiO2,iodide/triiodide,,rsc,no_heavy_metal_keyword_detected,10.1039/C2CC32926C,Efficient iodine-free dye -sensitized solar cells employing truxene-based organic dyes  
TT208,metal_free_candidate_uncertain,1,6.1,6.1,12.7,629.0,,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4DT01357C,Branched and bulky substituted ruthenium sensitizers for dye-sensitized solar cells  
FNE60,metal_free_candidate_uncertain,1,6.1,6.1,13.97,656.0,67.0,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C5TA01025J,Enhanced performance of quasi-solid-state dye-sensitized solar cells by tuning the building blocks in D–(π)–A′–π–A featured organic dyes 
23 ( ICP ),metal_free_candidate_uncertain,1,6.1,6.1,12.1,710.0,0.71,,,TiO2,,ITO,rsc,no_heavy_metal_keyword_detected,10.1039/C3EE41888J,Metal free sensitizer and catalyst for dye sensitized solar cells 
K4 / DCA,metal_free_candidate_uncertain,1,6.1,6.1,14.57,0.72,0.58,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C5TA03807C,"Pyridomethene–BF 2 complex/phenothiazine hybrid sensitizer with high molar extinction coefficient for efficient, sensitized solar cells  "
10 : 20 : 1,metal_free_candidate_uncertain,1,6.1,6.1,16.8,510.0,0.57,,,,,glass,rsc,no_heavy_metal_keyword_detected,10.1039/B502725J,Highly efficient co-sensitization of nanocrystalline TiO 2 electrodes with plural organic dyes  
Zn1NH3A,metal_free_candidate_uncertain,1,6.1,6.1,12.66,0.7,69.0,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C3CC47985D,"Three p -carboxyphenyl groups possessing zinc porphyrins: efficient, stable, and cost-effective sensitizers for dye-sensitized solar cells  "
YD2 - OC8,metal_free_candidate_uncertain,1,6.1,6.1,12.92,0.753,62.63,,,,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C6RA00353B,Synthesis of porphyrin sensitizers with a thiazole group as an efficient π-spacer: potential application in dye-sensitized solar cells  
EHOP + PTZ1,metal_free_candidate_uncertain,1,6.1,6.1,13.4,632.0,72.2,,,,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C3TA01128C,Novel D–π–A structured porphyrin  dyes with diphenylamine derived electron-donating substituents for highly efficient dye -sensitized solar cells  
2.10 × 10 − 5,metal_free_candidate_uncertain,1,6.1,6.1,12.13,712.0,70.62,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jiec.2019.01.036,Enhancement of solar cell performance through the formation of a surface dipole on polyacrylonitrile-treated TiO2 photoelectrodes
1 / DSC,metal_free_candidate_uncertain,1,6.1,6.1,11.7,744.0,0.73,,,,,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2013.02.040,The effect of direct amine substituted push–pull oligothiophene chromophores on dye-sensitized and bulk heterojunction solar cells performance
R1 / DSC,metal_free_candidate_uncertain,1,6.1,6.1,11.7,744.0,0.73,,,,,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2013.02.040,The effect of direct amine substituted push–pull oligothiophene chromophores on dye-sensitized and bulk heterojunction solar cells performance
R2 / BHJ,metal_free_candidate_uncertain,1,6.1,6.1,11.7,744.0,0.73,,,,,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2013.02.040,The effect of direct amine substituted push–pull oligothiophene chromophores on dye-sensitized and bulk heterojunction solar cells performance
2 / BHJ,metal_free_candidate_uncertain,1,6.1,6.1,11.7,744.0,0.73,,,,,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2013.02.040,The effect of direct amine substituted push–pull oligothiophene chromophores on dye-sensitized and bulk heterojunction solar cells performance
3 / BHJ,metal_free_candidate_uncertain,1,6.1,6.1,11.7,744.0,0.73,,,,,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2013.02.040,The effect of direct amine substituted push–pull oligothiophene chromophores on dye-sensitized and bulk heterojunction solar cells performance
LE,metal_free_organic_candidate,1,6.1,6.1,11.7,744.0,0.73,,CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)O)N,,,,elsevier,metal_free_smiles_screen,10.1016/j.synthmet.2014.04.005,Novel organic sensitizer based on directly linked oligothiophenes to donor nitrogen atom for efficient dye-sensitized solar cells
KS-5,metal_free_organic_candidate,1,6.1,6.1,13.4,646.0,0.7,,,,,,elsevier,organic_keyword:cyanoacrylic|thiophene,10.1016/j.dyepig.2011.09.003,Novel di-anchoring dye for DSSC by bridging of two mono anchoring dye molecules: A conformational approach to reduce aggregation
ZnP6C,metal_free_candidate_uncertain,1,6.09,6.09,11.92,0.72,0.71,,,,I3−/I−,FTO,rsc,no_heavy_metal_keyword_detected,10.1039/C6NJ00634E,Two new bulky substituted Zn porphyrins bearing carboxylate anchoring groups as promising dyes for DSSCs  
Image 45,metal_free_candidate_uncertain,1,6.09,6.09,15.14,0.625,0.64,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2017.05.011,"An overview on basics of organic and dye sensitized solar cells, their mechanism and recent improvements"
DIA4,metal_free_candidate_uncertain,2,4.52,6.08,10.64,0.595,69.8,,,TiO2,,FTO,rsc,no_heavy_metal_keyword_detected,10.1039/C3TA01657A,Rigid triarylamine-based efficient DSSC sensitizers with high molar extinction coefficients  
DBT1,metal_free_candidate_uncertain,2,5.965,6.08,10.82,0.715,0.775,,,TiO2,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2012.11.004,Influence of the benzo[d]thiazole-derived π-bridges on the optical and photovoltaic performance of D–π–A dyes
21 ( C220 ),metal_free_candidate_uncertain,1,6.08,6.08,9.7,881.0,0.71,,,TiO2,,ITO,rsc,no_heavy_metal_keyword_detected,10.1039/C3EE41888J,Metal free sensitizer and catalyst for dye sensitized solar cells 
LY02,metal_free_candidate_uncertain,1,6.08,6.08,14.11,0.66,65.25,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2019.107683,Three-component one-pot reaction for molecular engineering of novel cost-effective highly rigid quinoxaline-based photosensitizers for highly efficient DSSCs application: Remarkable photovoltage
P2,metal_free_candidate_uncertain,17,4.6913,6.07,10.475,417.907,27.6012,,P#P,TiO2; tin oxide,,FTO,elsevier; rsc,metal_free_smiles_screen; no_heavy_metal_keyword_detected; organic_keyword:cyanoacrylic,10.1016/j.optmat.2018.02.057; 10.1016/j.synthmet.2009.09.013; 10.1039/B918282A; 10.1039/C0JM02532A; 10.1039/C2JM15420J,"A new family of A 2 B 2 type porphyrin derivatives: synthesis, physicochemical characterization and their application in dye -sensitized solar cells   | Effect of donor moiety in organic sensitizer on spectral response, electrochemical and photovoltaic properties | Efficient and stable dye -sensitized solar cells based on phenothiazine sensitizers with thiophene units  "
M-PSS,metal_free_candidate_uncertain,3,5.7633,6.07,14.5967,0.6367,0.6167,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tsf.2014.03.010,Triarylene linked spacer effect for dye-sensitized solar cells
"15 ( HKK - CM1 ; 52.7 , 532 )",metal_free_candidate_uncertain,1,6.07,6.07,14.2,600.0,0.7,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4RA16493H,Recent progress in organic sensitizers for dye-sensitized solar cells 
D-π-A Image 16,metal_free_candidate_uncertain,1,6.07,6.07,14.2,600.0,0.7,,,TiO2,I3−/I−,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2017.11.045,Strategies to improve the performance of metal-free dye-sensitized solar cells
P. pterocarpum - Ethanol ( natural ),natural_or_bio_based_candidate,1,6.07,6.07,11.47,0.725,70.08,,,ZnO,,FTO,elsevier,natural_keyword:natural,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
HKK - CM1,metal_free_candidate_uncertain,1,6.07,6.07,14.2,0.6,0.7,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2011.01.009,Coumarin dyes containing low-band-gap chromophores for dye-sensitised solar cells
H-3,metal_free_organic_candidate,4,6.06,6.06,11.22,,0.75,,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)/C=C/C=C/C=C/C=C\C(=O)O)OC)C,TiO2,,FTO,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1016/j.dyepig.2016.09.043; 10.1039/C6RA23034B,Ferrocenyl chalcones with phenolic and pyridyl anchors as potential sensitizers in dye-sensitized solar cells   | Triphenylamine derivatives and the lithium-ion capture of [3.3]cyclophane used in organic dye-sensitized solar cells
PIDT - QCu,metal_free_candidate_uncertain,1,6.06,6.06,12.06,0.73,68.4,,,,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.optmat.2018.01.022,D-A-π-A dye-sensitizers with Cd (Ⅱ) or Cu (Ⅱ) complex as auxiliary electron acceptor
Dhkx-3,metal_free_candidate_uncertain,1,6.06,6.06,13.06,0.651,0.71,,,TiO2,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2019.02.002,New semi-rigid triphenylamine donor moiety for D-π-A sensitizer: Theoretical and experimental investigations for DSSCs
BTPA,metal_free_organic_candidate,1,6.06,6.06,14.21,0.62,0.69,,CC/C=C(/C1=CSC(=N1)NC(=O)OC(C)(C)C)\C(=O)O,TiO2,I−/I3−,,elsevier,metal_free_smiles_screen,10.1016/j.jechem.2016.05.005,A new D–D–π–A dye for efficient dye-sensitized solar cells
QX22,metal_free_organic_candidate,6,5.4983,6.05,10.9333,763.5,65.9167,,,TiO2,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.electacta.2017.02.166,T-shaped (D)2–A–π–A type sensitizers incorporating indoloquinoxaline and triphenylamine for organic dye-sensitized solar cells
LS-4,metal_free_candidate_uncertain,4,5.065,6.05,11.27,636.0,0.7052,,P#[In],TiO2,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2013.04.031,"Organic sensitizers incorporating 3,4-ethylenedioxythiophene as the conjugated bridge: Joint photophysical and electrochemical analysis of photovoltaic performance"
DA-3,metal_free_candidate_uncertain,2,6.02,6.05,11.89,0.713,0.711,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4TC00661E,Fluorene-bridged organic dyes with di-anchoring groups for efficient co-adsorbent-free dye-sensitized solar cells  
D20,metal_free_organic_candidate,1,6.05,6.05,11.51,720.0,0.73,,COCCNC(=NCCC[C@@H](C(=O)O)N)N,TiO2,I−/I3−,,rsc,metal_free_smiles_screen,10.1039/C7SE00068E,Recent developments in tetrathiafulvalene and dithiafulvalene based metal-free organic sensitizers for dye-sensitized solar cells: a mini-review  
JY12,metal_free_candidate_uncertain,1,6.05,6.05,14.0,674.0,0.64,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4RA12888E,Biindole-based double D–π–A branched organic dyes for efficient dye-sensitized solar cells  
K4,metal_free_candidate_uncertain,3,5.43,6.04,11.64,507.2167,0.6263,,,TiO2,I−/I3−,,elsevier; rsc,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2013.12.025; 10.1039/C5TA03807C,"Organic dyes incorporating a thiophene or furan moiety for efficient dye-sensitized solar cells | Pyridomethene–BF 2 complex/phenothiazine hybrid sensitizer with high molar extinction coefficient for efficient, sensitized solar cells  "
PTZTB4,metal_free_candidate_uncertain,3,6.04,6.04,11.835,689.0,0.646,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.electacta.2018.07.119,Dye-sensitized solar cells based on (D−π−A)3L2 phenothiazine dyes containing auxiliary donors and flexible linkers with different length of carbon chain
DF15,metal_free_organic_candidate,2,5.505,6.04,12.26,0.6835,0.66,,,TiO2,,glass,elsevier,organic_keyword:cyanoacrylic,10.1016/j.tet.2014.05.076,"Nanotek for organic synthesis, and organic synthesis for nanotek"
LX1,metal_free_candidate_uncertain,1,6.04,6.04,11.67,730.0,70.79,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C7CP04642A,A detailed experimental and theoretical investigation of the role of cyano groups in the π-bridged acceptor of sensitizers for use in dye-sensitized solar cells (DSCs)  
"18 ( BzTCA ; 46.77 , 557 )",metal_free_candidate_uncertain,1,6.04,6.04,16.46,545.0,0.67,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4RA16493H,Recent progress in organic sensitizers for dye-sensitized solar cells 
LP-2,metal_free_candidate_uncertain,1,6.04,6.04,11.67,730.0,70.79,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2015.10.010,Novel D–π–A porphyrin dyes with different alkoxy chains for use in dye-sensitized solar cells
P48,metal_free_candidate_uncertain,1,6.04,6.04,15.78,0.6,0.64,,,titania,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tetlet.2015.12.057,Review of carbazole based conjugated molecules for highly efficient organic solar cell application
MXD4,metal_free_candidate_uncertain,1,6.04,6.04,11.5,772.0,0.68,,,,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jpowsour.2010.08.055,Efficient dye-sensitized solar cells with triarylamine organic dyes featuring functionalized-truxene unit
FWD2,metal_free_organic_candidate,1,6.04,6.04,10.91,0.75,0.74,,,TiO2,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.electacta.2017.08.089,Efficient Small Molecule Organic Dyes Containing Different Bridges in Donor Moieties for Dye-Sensitized Solar Cells
DPP-II,metal_free_organic_candidate,11,4.815,6.03,9.7173,57.3235,0.6136,,CCCCN1C(=C2C(=C(N(C2=O)CCCC)C3=CC=C(C=C3)C4=CC=C(S4)C=O)C1=O)C5=CC=C(C=C5)C6=CC=C(C=C6)N(C7=CC=C(C=C7)OC)C8=CC=C(C=C8)OC,TiO2,,,elsevier,metal_free_smiles_screen; organic_keyword:dpp,10.1016/j.dyepig.2011.09.009; 10.1016/j.synthmet.2010.06.017,New diketo-pyrrolo-pyrrole (DPP) sensitizer containing a furan moiety for efficient and stable dye-sensitized solar cells | Synthesis and photovoltaic performance of new diketopyrrolopyrrole (DPP) dyes for dye-sensitized solar cells
XS47 / E2,metal_free_candidate_uncertain,2,5.98,6.03,11.75,766.0,0.665,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2013.10.016,Influence of donor and bridge structure in D–A–π–A indoline dyes on the photovoltaic properties of dye-sensitized solar cells employing iodine/cobalt electrolyte
DS-5,metal_free_organic_candidate,1,6.03,6.03,14.6,0.59,0.7,,,,,FTO,rsc,organic_keyword:cyanoacrylic|thiophene,10.1039/B815649B,Molecular design of triarylamine-based organic dyes for efficient dye -sensitized solar cells 
MR-5,metal_free_candidate_uncertain,1,6.03,6.03,15.27,0.61,65.12,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2018.05.011,Molecular engineering and synthesis of novel metal-free organic sensitizers with D-π-A-π-A architecture for DSSC applications: The effect of the anchoring group
PTZTB2,metal_free_candidate_uncertain,4,6.02,6.02,11.4167,680.0,0.632,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.electacta.2018.07.119,Dye-sensitized solar cells based on (D−π−A)3L2 phenothiazine dyes containing auxiliary donors and flexible linkers with different length of carbon chain
R : CH3,metal_free_candidate_uncertain,2,5.275,6.02,9.38,0.775,0.725,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C5TC04418A,Phenothiazine-based dyes for efficient dye-sensitized solar cells 
WD-7,metal_free_organic_candidate,2,5.955,6.02,12.585,675.5,0.7,,,TiO2,,,rsc,organic_keyword:cyanoacrylic,10.1039/C2JM34682F,Phenothiazine – triphenylamine based organic dyes containing various conjugated linkers for efficient dye -sensitized solar cells 
SB2,metal_free_organic_candidate,2,5.425,6.02,11.965,0.7225,0.63,,,TiO2,,FTO,elsevier,organic_keyword:cyanoacrylic,10.1016/j.dyepig.2011.10.014,Alkyloxy substituted organic dyes for high voltage dye-sensitized solar cell: Effect of alkyloxy chain length on open-circuit voltage
6 ( S4 ),metal_free_candidate_uncertain,1,6.02,6.02,13.8,630.0,0.69,,,TiO2,,ITO,rsc,no_heavy_metal_keyword_detected,10.1039/C3EE41888J,Metal free sensitizer and catalyst for dye sensitized solar cells 
K1 / DCA,metal_free_candidate_uncertain,1,6.02,6.02,14.05,0.69,0.63,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C5TA03807C,"Pyridomethene–BF 2 complex/phenothiazine hybrid sensitizer with high molar extinction coefficient for efficient, sensitized solar cells  "
Image 54,metal_free_candidate_uncertain,1,6.02,6.02,11.28,0.92,0.6,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2017.05.011,"An overview on basics of organic and dye sensitized solar cells, their mechanism and recent improvements"
WR7 b,metal_free_candidate_uncertain,1,6.02,6.02,16.27,617.0,0.6,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.synthmet.2016.01.025,Phenothiazine organic dyes with the cone-shaped structural: Broad photoresponse and limitations on short-circuit photocurrent density in dye-sensitized solar cells
FNE59,metal_free_candidate_uncertain,1,6.02,6.02,12.06,703.0,0.71,,,,I−/I3−,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jpowsour.2014.12.143,9th International Conference on Lead-Acid Batteries – LABAT 2014
DDC6,metal_free_candidate_uncertain,2,5.72,6.01,11.66,0.7285,67.7,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2014.08.016,"Photo-stable substituted dihydroindolo[2,3-b]carbazole-based organic dyes: tuning the photovoltaic properties by optimizing the π structure for panchromatic DSSCs"
YQ1,metal_free_candidate_uncertain,1,6.01,6.01,14.27,0.68,0.62,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4NJ00651H,2-Diphenylaminothiophene as the donor of porphyrin sensitizers for dye-sensitized solar cells  
U01,metal_free_organic_candidate,1,6.01,6.01,10.7,0.758,0.741,,CC(C)[C@@H](C1=CC=C(C=C1)Br)C2=C(C3=CC=CC=C3OC2=O)O,TiO2,,glass,elsevier,metal_free_smiles_screen,10.1016/j.matchemphys.2013.06.044,Simple indoline based donor–acceptor dye for high efficiency dye-sensitized solar cells
SH-14,metal_free_organic_candidate,1,6.01,6.01,12.29,687.5,71.18,,,,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.dyepig.2014.09.014,"The effect of the number, position, and shape of methoxy groups in triphenylamine donors on the performance of dye-sensitized solar cells"
FWD8,metal_free_organic_candidate,1,6.01,6.01,11.59,0.75,0.69,,,,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.solener.2019.07.068,Molecular design and application of novel small molecule organic dyes featuring bis(arylvinyl)phenyl amino group for dye-sensitized solar cells
TH305,metal_free_candidate_uncertain,4,3.3873,6.0,7.2455,347.8768,0.688,,,TiO2,,FTO; glass,rsc,no_heavy_metal_keyword_detected,10.1039/C2EE23081J; 10.1039/C3CS60409H; 10.1039/C3EE40296G; 10.1039/C3RA00180F,Ionic liquid-based green processes for energy production  | Recent advances in alternative cathode materials for iodine-free dye -sensitized solar cells  | Recent developments in redox electrolytes for dye -sensitized solar cells 
New organic dyes,metal_free_candidate_uncertain,4,5.425,6.0,10.915,0.6963,0.7132,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2015.07.076,Recent improvements in dye sensitized solar cells: A review
XS30,metal_free_candidate_uncertain,3,5.6667,6.0,13.5667,597.3333,0.7,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2011.09.019,Organic dyes incorporating the cyclopentadithiophene moiety for efficient dye-sensitized solar cells
FNE54,metal_free_candidate_uncertain,2,5.55,6.0,13.52,609.5,0.67,,,,I−/I3−,glass,rsc,no_heavy_metal_keyword_detected,10.1039/C4TA04884A,Efficient quasi-solid-state dye-sensitized solar cells based on organic sensitizers containing fluorinated quinoxaline moiety  
1 : 10,metal_free_candidate_uncertain,2,4.245,6.0,9.675,612.5,68.95,,,TiO2,iodide/triiodide,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jphotochem.2012.08.011; 10.1016/j.jphotochem.2016.05.015,Incorporation of a fluorophenylene spacer into a highly efficient organic dye for solid-state dye-sensitized solar cells | Tuning the photovoltaic parameters of β-substituted porphyrin analogues: An experimental and theoretical approach
MK-20,metal_free_organic_candidate,1,6.0,6.0,10.8,785.0,71.0,,C1=CC=C2C=C(C=CC2=C1)CN[C@H](CCCN=C(N)N)C(=O)N,TiO2,,FTO,rsc,metal_free_smiles_screen,10.1039/C2TA00897A,Recombination inhibitive structure of organic dyes for cobalt complex redox electrolytes in dye -sensitised solar cells  
RD1,metal_free_organic_candidate,1,6.0,6.0,12.744,0.694,0.68,,C1=CC2=C(C=CC(=C2)OP(=O)(O)O)C=C1C(P(=O)(O)O)P(=O)(O)O,TiO2,,,rsc,metal_free_smiles_screen,10.1039/C0CC03517C,Synthesis and electron-transfer properties of benzimidazole -functionalized ruthenium complexes for highly efficient dye -sensitized solar cells  
CuI / D149,metal_free_candidate_uncertain,1,6.0,6.0,12.8,0.65,,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C8TA06418K,Improved conversion efficiency of 10% for solid-state dye-sensitized solar cells utilizing P-type semiconducting CuI and multi-dye consisting of novel porphyrin dimer and organic dyes  
SD - 28,metal_free_candidate_uncertain,1,6.0,6.0,15.85,0.6,0.62,,,TiO2,I3−/I−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2019.107754,"Investigations into structure-property relationships of novel Ru(II) dyes with N,N′-Diethyl group in ancillary ligand for dye-sensitized solar cells"
1 : 30,metal_free_candidate_uncertain,1,6.0,6.0,12.45,710.0,68.0,,,TiO2,iodide/triiodide,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jphotochem.2016.05.015,Incorporation of a fluorophenylene spacer into a highly efficient organic dye for solid-state dye-sensitized solar cells
1 : 50,metal_free_candidate_uncertain,1,6.0,6.0,12.45,710.0,68.0,,,TiO2,iodide/triiodide,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jphotochem.2016.05.015,Incorporation of a fluorophenylene spacer into a highly efficient organic dye for solid-state dye-sensitized solar cells
1. CSORG9,metal_free_candidate_uncertain,1,6.0,6.0,12.07,0.72,0.68,,,,T2/T−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
3. CSORG7,metal_free_candidate_uncertain,1,6.0,6.0,11.56,0.72,0.71,,,,T2/T−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
TPTDYE-1,metal_free_organic_candidate,1,6.0,6.0,11.11,0.76,0.71,,,TiO2,I3−/I−,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.tet.2012.04.104,Synthesis of triphenylamine-based thiophene-(N-aryl)pyrrole-thiophene dyes for dye-sensitized solar cell applications
CSORG7,metal_free_candidate_uncertain,1,6.0,6.0,11.56,0.726,0.719,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.synthmet.2014.06.009,Highly conjugated electron rich thiophene antennas on phenothiazine and phenoxazine-based sensitizers for dye sensitized solar cells
CSORG9,metal_free_candidate_uncertain,1,6.0,6.0,12.07,0.72,0.685,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.synthmet.2014.06.009,Highly conjugated electron rich thiophene antennas on phenothiazine and phenoxazine-based sensitizers for dye sensitized solar cells
"57 ( JK - 217 ; 77.9 , 672 )",metal_free_candidate_uncertain,1,5.99,5.99,13.8,610.0,0.73,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C4RA16493H,Recent progress in organic sensitizers for dye-sensitized solar cells 
2.01 × 10− 6,metal_free_candidate_uncertain,1,5.99,5.99,15.8,0.78,47.8,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.matdes.2016.05.007,Photoexcitation of neodymium doped TiO2 for improved performance in dye-sensitized solar cells
