query,year,title,doi,journal,publisher,first_author,issn,eissn,keywords,fulltext_url,pdf_url,abstract,doaj_id
dye sensitized solar cell,2023,"Co-Sensitized DSSC with Natural Dyes Extracted from Beetroot, Pomegranate and Cranberry",10.3390/engproc2023032013,Engineering Proceedings,MDPI AG,Wakeel Shah,,2673-4591,DSSC; natural dye; co-sensitized DSSC; co-sensitizer,https://www.mdpi.com/2673-4591/32/1/13,,"The aim of this study is to boost the power conversion efficiency of a dye-sensitized solar cell (DSSC) by using the co-sensitization strategy with appropriate natural dyes extracted from pomegranate, beetroot and cranberry. The fabricated DSSCs were evaluated using current–voltage characteristics and UV-Vis spectroscopy. The co-sensitized DSSC with beetroot and cranberry showed higher short-circuit current density and power conversion efficiency than their individual dye-based DSSCs. This improvement in the performance is due to the lower aggregation of the dyes, broader absorption in the visible region and lower value of impedance. However, co-sensitized DSSCs of pomegranate with beetroot and cranberry did not show any improvement in performance.",08888409026049ba8040b250ff13c94c
dye sensitized solar cell,2023,Characterization of Poly(vinylidene Fluoride) Nanofiber-Based Electrolyte and Its Application to Dye-Sensitized Solar Cell with Natural Dyes,10.22146/ijc.75357,Indonesian Journal of Chemistry,"Department of Chemistry, Universitas Gadjah Mada",Nita Kusumawati,1411-9420,2460-1578,dssc; natural dye; electrolyte; pvdf; pvdf nf,https://jurnal.ugm.ac.id/ijc/article/view/75357,,"The potential of dye-sensitized solar cells (DSSC) as an alternative to depleting fossil fuels has been investigated. To optimize performance and efficiency, the effectiveness of PVDF and PVDF nanofiber (NF) membrane-based electrolytes in suppressing solvent leakage and evaporation in liquid electrolyte systems was evaluated. SEM results for PVDF NF membranes showed the formation of a network with a three-dimensional structure with a diameter of 100–300 nm and an average thickness of 0.14 mm. The Infrared (IR) spectrum shows the electrolyte and polymer-PVDF interactions. Differential Scanning Calorimetry (DSC) curve shows the melting transition of PVDF NF 7.66% lower than PVDF. Efficiency and resistance of DSSC based on natural dyes as measured by multimeter and Electrochemical Impedance Spectroscopy (EIS) at a solar intensity of 100 mW/cm2 showed the highest efficiency of anthocyanin-based DSSC from telang (Clitoria ternatea L.) flower extract. Its use as a photosensitizer in an electrolyte system based on PVDF NF membranes resulted in an efficiency that was not significantly different from that of liquid electrolytes (1.69%).",0d031ffa4ca74ad79f10d2b9dc13badc
DSSC natural dye,2023,"Characterization and Comparison of DSSCs Fabricated with Black Natural Dyes Extracted from Jamun, Black Plum, and Blackberry",10.3390/en16207187,Energies,MDPI AG,Ahmed Sikder,,1996-1073,dye-sensitized solar cell (DSSC); natural dye; TiO<sub>2</sub>; current; voltage; electrochemical impedance spectroscopy,https://www.mdpi.com/1996-1073/16/20/7187,,"In this report, natural dyes extracted from three different, black-colored fruits were used as photosensitizers for the construction of dye-sensitized solar cells (DSSCs). The natural dyes were extracted from the dark-colored peels of jamun (also known as Indian black plum), black plum, and blackberry fruit. These natural dyes contain polyphenolic compounds—most prominently anthocyanins—which interact strongly with titanium dioxide (TiO<sub>2</sub>) semiconductors and accordingly enhance the efficiency of DSSCs. The natural dyes extracted from the various fruits were characterized utilizing UV-Vis and fluorescence spectroscopy. The interaction between the dyes and TiO<sub>2</sub> was monitored with FTIR and Raman spectroscopy. The fabricated DSSCs were characterized via current–voltage measurements and electrochemical impedance analysis. DSSCs fabricated with jamun produced the highest efficiency of 1.09% with a short-circuit current of 7.84 mA/cm<sup>2</sup>, an open-circuit voltage of 0.45 V, and a fill factor of 0.31. The efficiencies of the DSSCs from black plum and blackberry were 0.55% and 0.38%, respectively. The flow of charge occurring at the interfaces between the natural dye and the TiO<sub>2</sub> layers were investigated using electrochemical impedance spectroscopy (EIS). To the best of our knowledge, this study is the first to directly compare three distinct types of black DSSCs. Computation analysis was also carried out utilizing SCAPS-1D software (version 3.3.07), which revealed how the type of defects in the devices impacts their performance.",fa2096f7e4c14b01bc55f2514c7c6d43
DSSC natural dye,2023,"Biosynthesis, characterization and optimization of TiO2 nanoparticles by novel marine halophilic Halomonas sp. RAM2: application of natural dye-sensitized solar cells",10.1186/s12934-023-02093-3,Microbial Cell Factories,BMC,Rasha A. Metwally,,1475-2859,TiO2 nanoparticles; Carotenoids; Dye-sensitized solar cells; Halomonas; Kocuria; Bacterioruberins,https://doi.org/10.1186/s12934-023-02093-3,,"Abstract Background Metal oxide nanoparticles (NPs) are becoming valuable due to their novel applications. The green synthesis of TiO2 NPs is more popular as a flexible and eco-friendly method compared to traditional chemical synthesis methods. TiO2 NPs are the most commonly used semiconductor in dye-sensitized solar cells (DSSCs). Results The biogenic TiO2 NPs were produced extracellularly by the marine halophilic bacterium Halomonas sp. RAM2. Response surface methodology (RSM) was used to optimize the biosynthesis process, resulting in a starting TiO2 concentration of 0.031 M and a pH of 5 for 92 min (⁓15 nm). TiO2 NPs were well-characterized after the calcination process at different temperatures of 500, 600, 700 and 800 °C. Anatase TiO2 NPs (calcined at 500 °C) with a smaller surface area and a wider bandgap were nominated for use in natural dye-sensitized solar cells (NDSSCs). The natural dye used as a photosensitizer is a mixture of three carotenoids extracted from the marine bacterium Kocuria sp. RAM1. NDSSCs were evaluated under standard illumination. After optimization of the counter electrode, NDSSCBio(10) (10 layers) demonstrated the highest photoelectric conversion efficiency (η) of 0.44%, which was almost as good as NDSSCP25 (0.55%). Conclusion The obtained results confirmed the successful green synthesis of TiO2 NPs and suggested a novel use in combination with bacterial carotenoids in DSSC fabrication, which represents an initial step for further efficiency enhancement studies.",7b4dfcf941044c99b763d42c4ba8d68b
dye sensitized solar cell,2023,Barium titanate perovskite nanoparticles integrated reduced graphene oxide nanocomposite photoanode for high performance dye-sensitized solar cell,10.1016/j.rechem.2023.101091,Results in Chemistry,Elsevier,S. Alex Pandian,,2211-7156,Barium titanate; Perovskite BaTiO3-RGO nanocomposite; Modified photoanode; DSSC,http://www.sciencedirect.com/science/article/pii/S2211715623003302,,"Nanocomposites comprised of barium titanate perovskite nanoparticles decorated reduced graphene oxide (BaTiO3-RGO NC) were formed through facile hydrothermal method. X-ray diffractometer profile confirmed crystallite and tetragonal phase of BaTiO3. Identification of D and G bands in Raman investigation and XPS spectra disclosed existence of graphene in the prepared BaTiO3-RGO NC. FE-SEM examination indicates small sized BaTiO3 NPs are obviously decorated on the graphene sheets by strong binding forces between graphene and BaTiO3 NPs. Among graphene of different wt%, BaTiO3-RGO NC with 1.5 wt% showed lowest PL intensity, indicating effective reduction of photogenerated charge carrier recombination. Dye-sensitized solar cell fabricated using BaTiO3-RGO NC photoanode having 1.5 wt% graphene displays high efficiency of 4.93% associated with high photocurrent density.",19dfecba8f9e497c95dfcc09a15b3f9e
dye sensitized solar cell,2023,Alternative Sources of Natural Photosensitizers: Role of Algae in Dye-Sensitized Solar Cell,10.3390/colorants2010010,Colorants,MDPI AG,Eddie Nahúm Armendáriz-Mireles,,2079-6447,algae; dye-sensitized solar cells; electrochemical impedance spectroscopy; natural pigments; optical properties,https://www.mdpi.com/2079-6447/2/1/10,,"In this paper, the potential of marine algae to act as sensitizers is systematically studied and presented. We aim to find a feasible financial strategy to enhance the global efficiency of dye-sensitized solar cells (DSSC). Algae are mainly composed of chlorophylls, carotenoids, flavonoids, and <i>Betalains</i>, which are essential pigments that confer unique characteristics that are required in natural sensitizers. Therefore, this review aims to unveil and understand the underlying mechanism between algae pigments and photoelectrodes and to conduct a comprehensive analysis to determine the effect of algae dye on light absorption efficiency and electron transport. The structural, morphological, optical, and electrochemical impedance properties are deeply analyzed, and we show the current opportunities for natural dyes to be used in energy technologies through DSSC. A comparison of several bibliographic sources dealing with DSSC based on algae provided a general overview of the improvements in factors such as the recombination times, the filling factor, and the Voc values. The contributions of this paper relate to the conversion efficiency and future applications in the DSSC field. Finally, this review exemplifies that the nature of the pigment affects the photophysical properties of the cell. Thus, this paper may contribute to future investigations of DSSC when choosing efficient natural dyes according to their optical and electronic properties. Therefore, this work provides the knowledge required to efficiently merge materials and dyes, in which photovoltaic energy systems’ reproducibility and scalability still represent a challenge. Lastly, this document discusses the natural pigments’ stability and the approaches to improve their chemical stability.",210051af8eea4cb4832cdc40f5517881
dye sensitized solar cell,2023,A Review on Liquid Electrolyte Stability Issues for Commercialization of Dye-Sensitized Solar Cells (DSSC),10.3390/en16135129,Energies,MDPI AG,Angellina Ebenezer Anitha,,1996-1073,dye-sensitized solar cell (DSSC); liquid electrolyte; commercialization; potential; limitations; ionic liquids,https://www.mdpi.com/1996-1073/16/13/5129,,"Dye-sensitized solar cells have been under development for the last three decades but are yet to see the market. This has been attributed to stability issues of the electrolyte in the cell. Electrolytes can be liquid, quasi-solid, or solid. Liquid electrolytes were the first to be developed and, therefore, have been subject to radical revisions in both composition and applicability. They have shown the best power conversion efficiencies but have poor thermal stability. Although quasi-solid and solid-state electrolytes were developed to overcome these stability issues, they too have their limits. The aim of this paper is to explore the development of liquid electrolytes, outlining the current state of the technology and considering their potential in the photovoltaic market.",1ab48e42473e4c8baca02e9ba686b6bf
DSSC natural dye,2023,A Green Approach to Natural Dyes in Dye-Sensitized Solar Cells,10.3390/s23208412,Sensors,MDPI AG,Nurul Izzati Abdul Shukor,,1424-8220,dye-sensitized solar cells; blueberry; mulberry; anthocyanin; photovoltaics,https://www.mdpi.com/1424-8220/23/20/8412,,"Solar cells are pivotal in harnessing renewable energy for a greener and more sustainable energy landscape. Nonetheless, eco-friendly materials for solar cells have not been as extensive as conventional counterparts, highlighting a significant area for further investigation in advancing sustainable energy technologies. This study investigated natural dyes from cost-effective and environmentally friendly blueberries and mulberries. These dyes were utilized as alternative sensitizers for dye-sensitized solar cells (DSSCs). Alongside the natural dyes, a green approach was adopted for the DSSC design, encompassing TiO<sub>2</sub> photoanodes, eco-friendly electrolytes, and green counter-electrodes created from graphite pencils and candle soot. Consequently, the best-optimized dye sensitizer was mulberry, with an output power of 13.79 µW and 0.122 µW for outdoor and indoor environments, respectively. This study underscored the feasibility of integrating DSSCs with sensitizers derived from readily available food ingredients, potentially expanding their applications in educational kits and technology development initiatives.",afff5b0c91ea406b8348533566411075
green dye sensitized solar cell,2022,Triazine: An Important Building Block of Organic Materials for Solar Cell Application,10.3390/molecules28010257,Molecules,MDPI AG,Valeria Dávila Cerón,,1420-3049,triazine; organic solar cells; dye-sensitized solar cells; perovskite materials; photovoltaics,https://www.mdpi.com/1420-3049/28/1/257,,"Since the beginning of the 21st century, triazine-based molecules have been employed to construct different organic materials due to their unique optoelectronic properties. Among their applications, photovoltaics stands out because of the current need to develop efficient, economic, and green alternatives to energy generation based mainly on fossil fuels. Here, we review all the development of triazine-based organic materials for solar cell applications, including organic solar cells, dye-sensitized solar cells, and perovskite solar cells. Firstly, we attempt to illustrate the main synthetic routes to prepare triazine derivatives. Then, we introduce the main aspects associated with solar cells and their performance. Afterward, we discuss different works focused on the preparation, characterization, and evaluation of triazine derivatives in solar cells, distinguishing the type of photovoltaics and the role of the triazine-based material in their performance (e.g., as a donor, acceptor, hole-transporting material, electron-transporting material, among others). Throughout this review, the progress, drawbacks, and main issues of the performance of the mentioned solar cells are exposed and discussed. Finally, some conclusions and perspectives about this research topic are mentioned.",266bad0426cb4ba98e288998a774f9ea
DSSC natural dye,2022,The Golden Fig: A Plasmonic Effect Study of Organic-Based Solar Cells,10.3390/nano12020267,Nanomaterials,MDPI AG,Jessica Barichello,,2079-4991,DSSC; gold nanoparticles; plasmonic effect; natural dye; DSSM,https://www.mdpi.com/2079-4991/12/2/267,,"An optimization work on dye-sensitized solar cells (DSSCs) based on both artificial and natural dyes was carried out by a fine synthesis work embedding gold nanoparticles in a TiO<sub>2</sub> semiconductor and perfecting the TiO<sub>2</sub> particle sizes of the scattering layer. Noble metal nanostructures are known for the surface plasmon resonance peculiarity that reveals unique properties and has been implemented in several fields such as sensing, photocatalysis, optical antennas and PV devices. By embedding gold nanoparticles in the mesoporous TiO<sub>2</sub> layer and adding a scattering layer, we were able to boost the power conversion efficiency (PCE) to 10.8%, using an organic ruthenium complex. The same implementation was carried out using a natural dye, betalains, extracted from Sicilian prickly pear. In this case, the conversion efficiency doubled from 1 to 2% (measured at 1 SUN illumination, 100 mW/cm<sup>2</sup> under solar simulation irradiation). Moreover, we obtained (measured at 0.1 SUN, 10 mW/cm<sup>2</sup> under blue light LED irradiation) a record efficiency of 15% with the betalain-based dye, paving the way for indoor applications in organic natural devices. Finally, an attempt to scale up the system is shown, and a betalain-based- dye-sensitized solar module (DSSM), with an active area of 43.2 cm<sup>2</sup> and a PCE of 1.02%, was fabricated for the first time.",c5c7f7cc7a9741beba2b0e73f61f4e0b
dye sensitized solar cell,2022,The Effect of Cell Surface Area on the Effectivity and Reusability of Bixin Sensitized Solar Cells,10.26418/positron.v12i1.53409,Positron,Universitas Tanjungpura,Anissa Bella Maharani,2301-4970,2549-936X,,https://jurnal.untan.ac.id/index.php/jpositron/article/view/53409,,"Dye-Sensitized Solar Cells or DSSC is the latest solar cell type generation that uses natural dyes as sensitizers. Bixin extracted from the seeds of kesumba (Bixa orellana L) is one of the natural dyes that can be used as a sensitizer. This study aims to determine the effect of the active surface area of solar cells on the effectivity and reusability of bixin-sensitized solar cells based on their open-circuit voltage (Voc), short-circuit current (Isc), and maximum energy conversion efficiency. The results of this study will provide an overview of the best surface area to produce DSSC with the highest maximum energy conversion efficiency and the lifetime of bixin sensitized solar cells. The measurement results showed that the resulting Voc for each variation of the surface area 1, 2, and 3 cm2 was 344; 719; 1002 mV under intensity 100 mW cm-2, while the Isc produced under the same intensity was 0.223; 0.471; 0.680 mA. Based on the calculation results, the maximum power generated by each surface area was 0,077; 0,338; 0,681 W.  This means that the larger the active surface area of the solar cell, the greater the voltage and current generated. In this work, the highest efficiency was produced by solar cells with a surface area of 2 cm2, which is 0.085%. The solar cells fabricated in this study can be reused for five days under continuous irradiation.",0b17375bd38b4aff9d0c48bb5bb17b23
DSSC natural dye,2022,Synthesis of innovative triphenylamine-functionalized organic photosensitizers outperformed the benchmark dye N719 for high-efficiency dye-sensitized solar cells,10.1038/s41598-022-17041-1,Scientific Reports,Nature Portfolio,Safa A. Badawy,,2045-2322,,https://doi.org/10.1038/s41598-022-17041-1,,"Abstract Herein, we present a thorough photovoltaic investigation of four triphenylamine organic sensitizers with D–π–A configurations and compare their photovoltaic performances to the conventional ruthenium-based sensitizer N719. SFA-5–8 are synthesized and utilized as sensitizers for dye-sensitized solar cell (DSSC) applications. The effects of the donor unit (triphenylamine), π-conjugation bridge (thiophene ring), and various acceptors (phenylacetonitrile and 2-cyanoacetamide derivatives) were investigated. Moreover, this was asserted by profound calculations of HOMO (highest occupied molecular orbital) and LUMO (lowest unoccupied molecular orbital) energy levels, the molecular electrostatic potential (MEP), and natural bond orbital (NBO) that had been studied for the TPA-sensitizers. Theoretical density functional theory (DFT) was performed to study the distribution of electron density between donor and acceptor moieties. The sensitization by the absorption of sensitizers SFA-5–8 leads to an obvious enhancement in the visible light absorption (300–750 nm) as well as a higher photovoltaic efficiency in the range of (5.53–7.56%). Under optimized conditions, SFA-7 showed outstanding sensitization of nanocrystalline TiO2, resulting in enhancing the visible light absorption and upgrading the power conversion efficiency (PCE) to approximately 7.56% over that reported for the N719 (7.29%). Remarkably, SFA-7 outperformed N719 by 4% in the total conversion efficiency. Significantly, the superior performance of SFA-7 could be mainly ascribed to the higher short-circuit photocurrents (Jsc) in parallel with larger open-circuit voltages (Voc) and more importantly, the presence of different anchoring moieties that could enhance the ability to fill the gaps on the surface of the TiO2 semiconductor. That could be largely reflected in the overall enhancement in the device efficiency. Moreover, the theoretical electronic and photovoltaic properties of all studied sensitizers have been compared with experimental results. All the 2-cyanoacrylamide derivative sensitizers demonstrated robust photovoltaic performance.",8fd6e5dab06546a797b6c5905a03579e
DSSC metal-free organic dye,2022,Synthesis of Novel Triphenylamine-Based Organic Dyes with Dual Anchors for Efficient Dye-Sensitized Solar Cells,10.1186/s11671-022-03711-6,Nanoscale Research Letters,SpringerOpen,Samar E. Mahmoud,,1556-276X,Di-cyanoacrylamide; Di-thiazolidine-5-one; Triphenylamine-based organic dyes; N-719,https://doi.org/10.1186/s11671-022-03711-6,,"Abstract A new series of metal-free organic dyes (SM1-5) with dual anchors are synthesized for application in dye-sensitized solar cells (DSSC). Here, a simple triphenylamine (TPA) moiety serves as the electron donor, while di-cyanoacrylamide and di-thiazolidine-5-one units serve as the electron acceptors and anchoring groups. To understand the effect of dye structure on the photovoltaic characteristics of DSSCs, the photophysical and electrochemical properties, as well as molecular geometries calculated from density functional theory (DFT), are used for dyes SM1-5. The extinction coefficients of the organic dyes SM1-5 are high (5.36–9.54 104 M−1 cm−1), indicating a high aptitude for light harvesting. The photovoltaic studies indicated that using dye SM4 as a sensitizer showed a power conversion efficiency (PCE) of 6.09% (J SC = 14.13 mA cm−2, V OC = 0.624 V, FF = 68.89%). Interestingly, SM4 showed the highest values of V OC among all dyes, including N-719, due to its maximum dye coverage on the TiO2 surface, enhancing charge recombination resistance in the sensitized cell. The good agreement between the theoretically and experimentally obtained data indicates that the energy functional and basis set employed in this study can be successfully utilized to predict new photosensitizers' absorption spectra with great precision before synthesis. Also, these results show that bi-anchoring molecules have a lot of potentials to improve the overall performance of dye-sensitized solar cells.",87b967288240471dba6efaa44ba2f055
DSSC natural dye,2022,Synthesis and Photophysics Characterization of Boronic Styril and Distyryl BODIPYs for Water-Based Dye-Sensitized Solar Cells,10.3390/biomimetics7030110,Biomimetics,MDPI AG,Francesco Nastasi,,2313-7673,BODIPY; dye-sensitized solar cells; boronic acids; external quantum yield; donor-π-acceptor,https://www.mdpi.com/2313-7673/7/3/110,,"In this study, two boronic acid BODIPYs are obtained through a microwave-assisted Knoevenagel reaction. The aim is to use them for the first time as dyes in a photosensitized solar cell (DSSC) to mimic chlorophyll photosynthesis, harvesting solar light and converting it into electricity. The microwave-assisted Knoevenagel reaction is a straightforward approach to extending the molecular conjugation of the dye and is applied for the first time to synthesize BODIPY’s boronic acid derivatives. These derivatives have proved to be very useful for covalent deposition on titania. This work studies the photo-physical and electrochemical properties. Moreover, the photovoltaic performances of these two new dyes as sensitizers for DSSC are discussed. Experimental data show that both dyes exhibit photosensitizing activities in acetonitrile and water. In particular, in all the experiments, distyryl BODIPY was more efficient than styryl BODIPY. In this study, demonstrating the use of a natural component as a water-based electrolyte for boronic BODIPY sensitizers, we open new possibilities for the development of water-based solar cells.",e791dde28cfd4fa99a527dd5bdc0b2fa
DSSC natural dye,2022,Strategy to Select and Grade Efficient Dyes for Enhanced Photo-Absorption,10.46481/asr.2022.1.1.16,African Scientific Reports,Nigerian Society of Physical Sciences,A. Babangida,2955-1625,2955-1617,"Selection criteria, Dye-grade, Absorbance, Anthocyanin, Photo-absorber",https://asr.nsps.org.ng/index.php/asr/article/view/16,,"
In this paper, a simple strategy to select and grade efficient natural dye-sensitizers for photo-absorption is developed. The selection criteria help to choose efficient dye for construction of solar cell. On the other hand, the dye-grade technique based on light and matter interaction parameters (absorbance, anthocyanin, and light harvesting efficiency) further reduce the number of dyes for efficient dye-sensitized solar cell (DSSC) production. The result shows that the dyes extracted from witch seed flower (Striga hermonthica), flamboyant flower (Delonix regia), and bitter gourd (Momordica charantia) have dye-grade 1, are the most efficient photo-absorber for enhanced DSSC fabrication while guava peel dye has grade 10 being the least efficient dye. The selection criteria and dye-grade techniques provide surer way of getting promising dyes for effiective DSSC production than choosing the dyes randomly based on some features like their colors and abundance.
",c4e026c216b74bc4a80221f01e133db4
DSSC natural dye,2022,Simultaneous effect of activated carbon and chlorophyll pigment from leaves of acacia nilotica on the enhancement of electron transfer in DSSC applications,10.1088/2053-1591/ac9e48,Materials Research Express,IOP Publishing,P Dhanasekaran,,2053-1591,green and red dye; confirmation test for flavonoids; tannins; saponins; acacia nilotica; carbohydrates,https://doi.org/10.1088/2053-1591/ac9e48,,"A well-defined attempt has been made to confirm the impact of green dye with activated carbon on the performance of Dye-sensitized solar cell (DSSC) compared to the natural red dye as sensitizer. Green dye from the leaf of Acacia Nilotica combined with the activated carbon derived from coconut Shell and red dye from beet root with activated carbon extracted using ethanol have been used to fabricate dye-sensitized solar cells. The pH of the extracts confirms the acidic nature of the dyes. The chlorophyll pigments in the green dye and activated carbon particles have pronounced effect for the efficiency of the solar cell. It is found that the solar cell with green dye and activated carbon has given an efficiency of 0.69% with fill factor, open circuit voltage and short circuit current density of 0.5361, 0.65 V and 2.0 mA cm ^−2 . The red dye with activated carbon as sensitizer has given the efficiency of 0.504%. Analysis of the green dye with activated carbon in DSSC has proven the enhanced electron injection with low charge transfer resistance of 58 Ω and higher rate of reduction of redox couple I ^− /I _3 ^− .",af8c5eb6364b4af3b2efc232464d14ef
green dye sensitized solar cell,2022,"Se-doped SiO2 nancomposite material synthesis, characterization and multi applications",10.1016/j.mset.2022.01.004,Materials Science for Energy Technologies,"KeAi Communications Co., Ltd.",R. Durga devi,2589-2991,,Sol–gel method; Photocatalysis; Antibacterial activity; Dye-sensitized solar cell,http://www.sciencedirect.com/science/article/pii/S2589299122000040,,"In this article, prepared SiO2 and Se-doped SiO2 nancomposite materials have been made by using the sol–gel technique as well as their nancomposite material organisation studied toward the removal of Methyl Green (MG) dye by UV and solar irradiation as a model organic pollutant from the textile industry. The characterization included SEM, EDX, TEM, XRD, DRS, and PL analysis and measurements. The implications of process parameters, including advantages, have been analyzed at various parameters and are reported. The catalyst was found to be stable and reusable. This procedure is more cost-effective for treating industrial waste since it may be reused under solar light. As a photo electrode, Se-doped SiO2 proved its efficiency in dye-sensitized solar cell applications, and the antibacterial agar well diffusion method had very important industrial and medicinal applications.",afabb04864be462fa29af7a88a91cc6f
dye sensitized solar cell,2022,Research Paper: Fabrication of DSSCs Based on Ag-Decorated TiO2 Nanofiber Photoanodes,10.22051/ijap.2022.33429.1249,فیزیک کاربردی ایران,Alzahra University,Ahmad Zatirostami,2783-1043,2783-1051,silver nanoparticles; dye-sensitized solar cell fabrication; nanofiber,,https://jap.alzahra.ac.ir/article_6305_863aeb07a1946adfb4b40ece09dfcf7a.pdf,"Dye-sensitized solar cells (DSSCs) are cheap and earth abundant solar cells that require novel ideas for further improvement. In this study, we use TiO2 nanofibers to fabricate the DSSCs photoanode. In order to isolate the transparent conductive oxide from the electrolyte species, we deposit a spin-coated TiO2 blocking layer. The characteristics of this cell are further improved by decorating the nanofibers with Ag nanoparticles which generate surface plasmonic resonances. It is shown that LSPRs increase the generated current in the cells by providing a higher light absorption and lower recombination. Our best cell showed an efficiency of 6.19%, which is a significant improvement in comparison to the bare DSSC with 4.84% efficiency.",1fa52ae02a4b49a1b130b9d13a7e2869
dye sensitized solar cell,2022,Plasmon Effect of Ag Nanoparticles on TiO<sub>2</sub>/rGO Nanostructures for Enhanced Energy Harvesting and Environmental Remediation,10.3390/nano13010065,Nanomaterials,MDPI AG,Seenidurai Athithya,,2079-4991,solar energy; dye degradation; surface plasmon resonance effect; TiO<sub>2</sub>/rGO/Ag; hybrid nanostructures,https://www.mdpi.com/2079-4991/13/1/65,,"We report Ag nanoparticles infused with mesosphere TiO<sub>2</sub>/reduced graphene oxide (rGO) nanosheet (TiO<sub>2</sub>/rGO/Ag) hybrid nanostructures have been successfully fabricated using a series of solution process synthesis routes and an in-situ growth method. The prepared hybrid nanostructure is utilized for the fabrication of photovoltaic cells and the photocatalytic degradation of pollutants. The photovoltaic characteristics of a dye-sensitized solar cell (DSSC) device with plasmonic hybrid nanostructure (TiO<sub>2</sub>/rGO/Ag) photoanode achieved a highest short-circuit current density (<i>J<sub>SC</sub></i>) of 16.05 mA/cm<sup>2</sup>, an open circuit voltage (<i>V<sub>OC</sub></i>) of 0.74 V and a fill factor (<i>FF</i>) of 62.5%. The fabricated plasmonic DSSC device exhibited a maximum power conversion efficiency (PCE) of 7.27%, which is almost 1.7 times higher than the TiO<sub>2</sub>-based DSSC (4.10%). For the photocatalytic degradation of pollutants, the prepared TiO<sub>2</sub>/rGO/Ag photocatalyst exhibited superior photodegradation of methylene blue (MB) dye molecules at around 93% and the mineralization of total organic compounds (TOC) by 80% in aqueous solution after 160 min under continuous irradiation with natural sunlight. Moreover, the enhanced performance of the DSSC device and the MB dye degradation exhibited by the hybrid nanostructures are more associated with their high surface area. Therefore, the proposed plasmonic hybrid nanostructure system is a further development for photovoltaics and environmental remediation applications.",19a703adf33842779e94456016b6358c
DSSC natural dye,2022,Photo-performance characteristics of Baphia nitida and rosella dye sensitized solar cell,10.1016/j.rio.2022.100311,Results in Optics,Elsevier,Onyekachi Onyinyechi Nnorom,2666-9501,,Baphia nitida; Energy band gap; DSSC; LHE; Fill factor; Efficiency,http://www.sciencedirect.com/science/article/pii/S2666950122001006,,"The photoelectric effect of four different natural dyes on Dye sensitized solar cell (DSSC) was studied. Baphia nitida dye extracted with an alkali medium, rosella dye extracted with an aqueous and solvent medium and cocktail of baphia nitida and rosella dye were used respectively in the fabrication of Dye sensitized solar cell. The effect of dye Light Harvesting Efficiency (LHE), dye pH, and energy band gap (E) were also studied. From the result, it was observed that Rosella dye extracted with water and ethanol has peaks at 530 nm and 550 nm respectively, while baphia nitida dye extract has its wavelength of maximum absorbance at 540 nm. The mixed dye however had peaks at 450 nm and 470 nm. FTIR spectra of baphia nitida dye and rosella dye showed that both dyes contain hydroxyl and carboxyl groups. DSSC of Rosella dye extract with pH of 2 and E 2.35 eV performed better (efficiency 0.42 %) than DSSC of Rosella with pH of 3.4 and E 2.26 eV (efficiency 0.24 %). The DSSC fabricated with Baphia nitida dye extract (pH 12 and E 2.3 eV) with efficiency 0.58 %, fill factor 0.72 and Voc 0.530 V performed better than all the cells studied. Cell performance of the mixed dye was the least of all the dyes with efficiency 0.074 %, fill factor 0.18, Voc 0.341 V, pH 9 and E 2.59 eV.",6048160f6f7247308e5cf5e8eb391470
dye sensitized solar cell,2022,Performance of Doped Montmorillonite on Photosensitizer Based Natural Dyes Gardenia Jasminoides,10.13057/ijap.v12i1.54786,Indonesian Journal of Applied Physics,Sebelas Maret University,Sri Mulijani,2089-0133,2477-6416,"dye sensitized solar cell; montmorillonite; nafion, dye; gardenia jasminoides.",https://jurnal.uns.ac.id/ijap/article/view/54786,,"Dye Sensitized Solar Cell (DSSC) is an electrochemical cell that is able to convert solar energy from light to electrical energy. This technology is needed by the world as a renewable and environment friendly energy. In this study, we evaluate the consideration of modification montmorillonite and Gardenia jasminoides dyes may achieve better performance of DSSC by manufactured DSSC with modified TiO2 semiconductors using montmorillonite (MMT) and Nafion. Performance of DSSC was determined by potentiometer. Atomic force microscope was used to evaluate the characteristic of DSSC. The UV-vis results revealed that the dyes which is extracted from the Gardenia jasminoides content crocin and quercetin compounds. Modification DSSC contains ratio of MMT: nafion (50:50) exhibited highest power conversion efficiency value of 0.8316%. Topography of surface ensured the dyes have occupied surface area and able to promote electron to higher energy.  However, MMT and nafion capable to enhance potential of dyes as photosensitizer in DSSC.",0dc7ca8d7adc4a27b24e8bc1ec87f3a6
